"","Sensor","Date_Time","Date","Time","Count"
"126","Royal Pde - Grattan St",2017-07-01 01:00:00,2017-07-01,1,NA
"127","Bourke Street Mall (North)",2017-07-01 02:00:00,2017-07-01,2,63
"128","Bourke Street Mall (South)",2017-07-01 02:00:00,2017-07-01,2,64
"129","Melbourne Central",2017-07-01 02:00:00,2017-07-01,2,360
"130","Town Hall (West)",2017-07-01 02:00:00,2017-07-01,2,311
"131","Princes Bridge",2017-07-01 02:00:00,2017-07-01,2,0
"132","Flinders Street Station Underpass",2017-07-01 02:00:00,2017-07-01,2,314
"133","Birrarung Marr",2017-07-01 02:00:00,2017-07-01,2,19
"134","Webb Bridge",2017-07-01 02:00:00,2017-07-01,2,6
"135","Southern Cross Station",2017-07-01 02:00:00,2017-07-01,2,22
"136","Victoria Point",2017-07-01 02:00:00,2017-07-01,2,11
"137","Waterfront City",2017-07-01 02:00:00,2017-07-01,2,0
"138","New Quay",2017-07-01 02:00:00,2017-07-01,2,22
"139","Flagstaff Station",2017-07-01 02:00:00,2017-07-01,2,0
"140","Sandridge Bridge",2017-07-01 02:00:00,2017-07-01,2,167
"141","State Library",2017-07-01 02:00:00,2017-07-01,2,116
"142","Collins St (North)",2017-07-01 02:00:00,2017-07-01,2,52
"143","Collins Place (South)",2017-07-01 02:00:00,2017-07-01,2,25
"144","Collins Place (North)",2017-07-01 02:00:00,2017-07-01,2,9
"145","Chinatown-Swanston St (North)",2017-07-01 02:00:00,2017-07-01,2,116
"146","Chinatown-Lt Bourke St (South)",2017-07-01 02:00:00,2017-07-01,2,123
"147","Bourke St-Russell St (West)",2017-07-01 02:00:00,2017-07-01,2,401
"148","Flinders St-Elizabeth St (East)",2017-07-01 02:00:00,2017-07-01,2,389
"149","Spencer St-Collins St (South)",2017-07-01 02:00:00,2017-07-01,2,49
"150","Spencer St-Collins St (North)",2017-07-01 02:00:00,2017-07-01,2,83
"151","Melbourne Convention Exhibition Centre",2017-07-01 02:00:00,2017-07-01,2,18
"152","QV Market-Elizabeth St (West)",2017-07-01 02:00:00,2017-07-01,2,108
"153","QV Market-Peel St",2017-07-01 02:00:00,2017-07-01,2,13
"154","The Arts Centre",2017-07-01 02:00:00,2017-07-01,2,70
"155","St Kilda Rd-Alexandra Gardens",2017-07-01 02:00:00,2017-07-01,2,32
"156","Lonsdale St (South)",2017-07-01 02:00:00,2017-07-01,2,298
"157","Lygon St (West)",2017-07-01 02:00:00,2017-07-01,2,30
"158","City Square",2017-07-01 02:00:00,2017-07-01,2,NA
"159","Flinders St-Spring St (West)",2017-07-01 02:00:00,2017-07-01,2,9
"160","Flinders St-Spark La",2017-07-01 02:00:00,2017-07-01,2,10
"161","Southbank",2017-07-01 02:00:00,2017-07-01,2,227
"162","Queen St (West)",2017-07-01 02:00:00,2017-07-01,2,251
"163","Lygon St (East)",2017-07-01 02:00:00,2017-07-01,2,15
"164","Alfred Place",2017-07-01 02:00:00,2017-07-01,2,7
"165","Lonsdale St-Spring St (West)",2017-07-01 02:00:00,2017-07-01,2,0
"166","Grattan St-Swanston St (West)",2017-07-01 02:00:00,2017-07-01,2,3
"167","Monash Rd-Swanston St (West)",2017-07-01 02:00:00,2017-07-01,2,4
"168","Tin Alley-Swanston St (West)",2017-07-01 02:00:00,2017-07-01,2,8
"169","Little Collins St-Swanston St (East)",2017-07-01 02:00:00,2017-07-01,2,186
"170","Flinders La-Swanston St (West)",2017-07-01 02:00:00,2017-07-01,2,653
"171","Pelham St (South)",2017-07-01 02:00:00,2017-07-01,2,NA
"172","Melbourne Central-Elizabeth St (East)",2017-07-01 02:00:00,2017-07-01,2,NA
"173","QVM-Queen St (East)",2017-07-01 02:00:00,2017-07-01,2,NA
"174","QVM-Therry St (South)",2017-07-01 02:00:00,2017-07-01,2,NA
"175","Faraday St-Lygon St (West)",2017-07-01 02:00:00,2017-07-01,2,NA
"176","QVM-Franklin St (North)",2017-07-01 02:00:00,2017-07-01,2,NA
"177","Elizabeth St-Lonsdale St (South)",2017-07-01 02:00:00,2017-07-01,2,NA
"178","Lincoln-Swanston (W)",2017-07-01 02:00:00,2017-07-01,2,NA
"179","Elizabeth St-La Trobe St (East)",2017-07-01 02:00:00,2017-07-01,2,NA
"180","Lonsdale St - Elizabeth St (North)",2017-07-01 02:00:00,2017-07-01,2,NA
"181","Bourke St Bridge",2017-07-01 02:00:00,2017-07-01,2,NA
"182","Bourke St - Spencer St (North)",2017-07-01 02:00:00,2017-07-01,2,NA
"183","RMIT Bld 80 - 445 Swanston Street",2017-07-01 02:00:00,2017-07-01,2,NA
"184","Flinders La-Swanston St (West) Temporary",2017-07-01 02:00:00,2017-07-01,2,NA
"185","RMIT Building 14",2017-07-01 02:00:00,2017-07-01,2,NA
"186","380 Elizabeth St",2017-07-01 02:00:00,2017-07-01,2,NA
"187","La Trobe St (North)",2017-07-01 02:00:00,2017-07-01,2,NA
"188","231 Bourke St",2017-07-01 02:00:00,2017-07-01,2,NA
"189","Royal Pde - Grattan St",2017-07-01 02:00:00,2017-07-01,2,NA
"190","Bourke Street Mall (North)",2017-07-01 03:00:00,2017-07-01,3,51
"191","Bourke Street Mall (South)",2017-07-01 03:00:00,2017-07-01,3,61
"192","Melbourne Central",2017-07-01 03:00:00,2017-07-01,3,248
"193","Town Hall (West)",2017-07-01 03:00:00,2017-07-01,3,223
"194","Princes Bridge",2017-07-01 03:00:00,2017-07-01,3,0
"195","Flinders Street Station Underpass",2017-07-01 03:00:00,2017-07-01,3,250
"196","Birrarung Marr",2017-07-01 03:00:00,2017-07-01,3,14
"197","Webb Bridge",2017-07-01 03:00:00,2017-07-01,3,2
"198","Southern Cross Station",2017-07-01 03:00:00,2017-07-01,3,23
"199","Victoria Point",2017-07-01 03:00:00,2017-07-01,3,15
"200","Waterfront City",2017-07-01 03:00:00,2017-07-01,3,1
"201","New Quay",2017-07-01 03:00:00,2017-07-01,3,10
